ezloophw-py logger started on:,2023-4-5_103045
ctrl_params:,{'duty_min': -0.8, 'duty_max': 0.8, 'ctrl_period': 200, 'numsteps': 100.0, 'kp': [0.008, 0.008], 'ki': [5e-08, 5e-08], 'kw': [0.0, 0.0], 'setpoint': [0.0, 0.0], 'u_setpoint': [0.0, 0.0], 'supervisor_gamma': [0.2, 0.2], 'temp_constraint': [115.0, 115.0], 'temp_control_mode': 'closeloop', 'trajfilepath': None, 'read_traj': False, 'read_u_traj': True, 'u_trajfilepath': './input_traj/2_limb_control_input/test_sma1_limb1.csv', 'n_limb': 2}
Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
37942000,92.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,24.06,21.5,22.13,22.25,34.549161320792315,52.80019759891354,110.6962391372696,69.22762480831541,169.68321364383843,95.85601147550062,224.33460791421945,130.54015566732897,282.8547047471766,175.64438153817252,342.15604543128325,225.68824291701245,392.78238977102507,267.55559617727727,433.69470371042263,305.3395175335104,478.4309396839876,344.2898299318342
37942201,93.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.75,21.5,22.13,22.5,34.57828050374438,52.79859104166626,110.69291729361672,69.25638307159919,169.63128597935903,95.87855091224657,224.32727799365338,130.564254776809,282.85049776623754,175.75021307662527,342.1761658713323,225.71942844782586,392.8043642797181,267.57837709153733,433.67710505100246,305.32799920111506,478.46794002298145,344.31545905348327
37942401,93.251000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.75,21.5,22.13,22.5,34.51683254349556,52.76911081010031,110.6807446949755,69.21635659139191,169.643758824763,95.87246551196975,224.333687167434,130.5412122050248,282.87349736799365,175.6950889443375,342.2156619388132,225.7157567707248,392.82782427325986,267.5938335745732,433.7205425070125,305.3518705829605,478.4742068989341,344.31915414672034
37942601,93.452000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.69,21.75,22.13,22.25,34.57293182483495,52.82003748339577,110.66920365290379,69.24662192811196,169.6461081279711,95.89115812287353,224.3502296186219,130.57783184836757,282.8697670279918,175.7034664062082,342.21690929630313,225.70015355410698,392.8397972065652,267.587395553537,433.70725024340396,305.300166160713,478.47625390477134,344.306480689455
37942801,93.653000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.69,21.75,22.13,22.25,34.58157409882267,52.883049744977974,110.59460763360549,69.31293535566948,169.6897672180038,95.90384217332246,224.37253551664182,130.58777138686963,282.8668988915913,175.71277339399623,342.23458619355984,225.68927403578925,392.83738067045545,267.53940136827447,433.7026174461027,305.27420165409126,478.45805137334236,344.2287796701589
37943001,93.851000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.69,21.75,22.13,22.25,34.588041245526405,52.966313035598475,110.6326823493498,69.37549791570007,169.61033812183678,95.96681293151653,224.37759653678324,130.61737473871628,282.89375599401814,175.7290663601507,342.2200989154504,225.68198977652122,392.8516114550469,267.5260255600024,433.65713074202074,305.25439984089275,478.41760263629175,344.2001720699838
37943201,94.051000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.94,21.5,22.13,22.5,34.634417345471185,52.92623915016796,110.66087686907593,69.38470259143624,169.60859640403334,95.92021030320721,224.36512145970048,130.6155167016527,282.88472752248913,175.71161103703272,342.2056778950153,225.66904448768574,392.8532458999552,267.52928530001884,433.6892584228363,305.2952639859482,478.44056657257374,344.1908265596339
37943401,94.251000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.94,21.5,22.13,22.5,34.61683901413867,52.918413959142526,110.65369738328485,69.325840321004,169.6545118393832,95.84314539292721,224.37431379843878,130.59331247212893,282.85322165193975,175.70266929513218,342.2202302322389,225.66067881444263,392.8504491968727,267.56722325939626,433.6976645626186,305.2822553976181,478.4440243250627,344.20369274849514
37943602,94.452000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.69,21.5,22.13,22.5,34.60471751057914,52.846275366274014,110.72388390389236,69.24868886295185,169.70755730417974,95.87766680154765,224.37541455658996,130.51248547913477,282.8027140386929,175.60625029086583,342.20510063718524,225.66133076497636,392.828829559269,267.5007064297308,433.69538655578594,305.2792351269038,478.42548355104776,344.2237225575449
37943804,94.654000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.69,21.5,22.13,22.5,34.63448246105676,52.78903344151517,110.71677241866496,69.24040479437954,169.75291838202116,95.8936065483865,224.41778714042172,130.53710469296752,282.7621758060243,175.59137130789574,342.18312661177885,225.64648718711615,392.8108123355253,267.5071851342237,433.6974174041341,305.3062716815011,478.4098646270699,344.24529710087256
